iata,name,city,state,country,latitude,longitude
Palm Springs,Palm Springs,Palm Springs,Palm Springs,Palm Springs,33.7836473,-116.4602187
Mission Viejo,Mission Viejo,Mission Viejo,Mission Viejo,Mission Viejo,33.6051,-117.644
"Calgary, AB","Calgary, AB","Calgary, AB","Calgary, AB","Calgary, AB",50.8902,-113.9892
United States,United States,United States,United States,United States,38,-97
La Quinta,La Quinta,La Quinta,La Quinta,La Quinta,33.6579,-116.27
Desert Hot Springs,Desert Hot Springs,Desert Hot Springs,Desert Hot Springs,Desert Hot Springs,33.9611,-116.5017
"Coquitlam, BC","Coquitlam, BC","Coquitlam, BC","Coquitlam, BC","Coquitlam, BC",49.2667,-122.7833
"Surrey, BC","Surrey, BC","Surrey, BC","Surrey, BC","Surrey, BC",49.1173,-122.8234
Whittier,Whittier,Whittier,Whittier,Whittier,33.9816,-118.0661
"Pitt Meadows, BC","Pitt Meadows, BC","Pitt Meadows, BC","Pitt Meadows, BC","Pitt Meadows, BC",49.2273,-122.6883
Danville,Danville,Danville,Danville,Danville,37.8216,-122
San Diego,San Diego,San Diego,San Diego,San Diego,32.8072,-117.1649
Livermore,Livermore,Livermore,Livermore,Livermore,37.6819,-121.768
Portland,Portland,Portland,Portland,Portland,45.5234,-122.6762
Australia,Australia,Australia,Australia,Australia,-37.8833,145.1667
Newport Beach,Newport Beach,Newport Beach,Newport Beach,Newport Beach,33.6189,-117.929
Humble,Humble,Humble,Humble,Humble,29.9459,-95.2752
Fountain Valley,Fountain Valley,Fountain Valley,Fountain Valley,Fountain Valley,33.71,-117.9478
Twentynine Palms,Twentynine Palms,Twentynine Palms,Twentynine Palms,Twentynine Palms,34.2438,-115.8598
La Jolla,La Jolla,La Jolla,La Jolla,La Jolla,32.8667,-117.2481
Cathedral City,Cathedral City,Cathedral City,Cathedral City,Cathedral City,33.8205,-116.4586
Palm Desert,Palm Desert,Palm Desert,Palm Desert,Palm Desert,33.7056,-116.4083
Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,34.0522,-118.2437
Santa Barbara,Santa Barbara,Santa Barbara,Santa Barbara,Santa Barbara,34.0184,-119.7252
Sacramento,Sacramento,Sacramento,Sacramento,Sacramento,38.5816,-121.4944
Bellflower,Bellflower,Bellflower,Bellflower,Bellflower,33.888,-118.1304
Dixon,Dixon,Dixon,Dixon,Dixon,38.39,-121.818
Chandler,Chandler,Chandler,Chandler,Chandler,33.3201,-111.8739
"New Westminster, BC","New Westminster, BC","New Westminster, BC","New Westminster, BC","New Westminster, BC",49.2007,-122.9074
Loomis,Loomis,Loomis,Loomis,Loomis,38.8139,-121.1662
Pasadena,Pasadena,Pasadena,Pasadena,Pasadena,34.1613,-118.0895
CA,CA,CA,CA,CA,34.0522,-118.2437
