iata	name	city	state	country	latitude	longitude	count
Palm Springs	"Palm Springs, CA, United States"	Palm Srpings	CA	United States	33.830688	-116.543691	0
"Calgary, AB"	"Calgary, AB Canada"	Calgary	AB	Canada	50.8902	-113.9892	21
San Diego	"San Diego, CA United States"	San Diego	CA	United States	32.8072	-117.1649	46
Portland	"Portland, OR United States"	Portland	OR	United States	45.5234	-122.6762	44
Twentynine Palms	"Twentynine Palms, CA United States"	Twentynine Palms	CA	United States	34.2438	-115.8598	16
Cathedral City	"Cathedral City, CA United States"	Cathedral City	CA	United States	33.8205	-116.4586	96
Los Angeles	"Los Angeles, CA United States"	Los Angeles	CA	United States	34.0522	-118.2437	292
"Vancouver, BC"	"Vancouver, BC Canada"	Vancouver	BC	Canada	49.2768	-123.1469	45
Seattle	"Seattle, WA United States"	Seattle	WA	United States	47.6103	-122.3341	26
New York	"New York, NY United States"	New York	NY	United States	40.7317	-73.9885	20
Anaheim	"Anaheim, CA United States"	Anaheim	CA	United States	33.8312	-117.8673	82
San Francisco	"San Francisco, CA United States"	San Francisco	CA	United States	37.7441	-122.4839	21
"Edmonton, AB"	"Edmonton, AB Canada"	Edmonton	AB	Canada	53.4782	-113.5873	16
Springfield	"Springfield, MO United States"	Springfield	MO	United States	37.219	-93.3176	16
San Carlos	"San Carlos, CA United States"	San Carlos	CA	United States	37.498	-122.2672	48
Redlands	"Redlands, CA United States"	Redlands	CA	United States	34.0614	-117.1734	38
Philadelphia	"Philadelphia, PA United States"	Philadelphia	PA	United States	40.0491	-75.2281	18
Atlanta	"Atlanta, GA United States"	Atlanta	GA	United States	33.749	-84.388	112
Theodore	"Theodore, AL United States"	Theodore	AL	United States	30.5035	-88.1432	18
San Marcos	"San Marcos, CA United States"	San Marcos	CA	United States	33.1434	-117.1661	42
Rancho Santa Margarita	"Rancho Santa Margarita, CA United States"	Rancho Santa Margarita	CA	United States	33.6199	-117.6119	24
Brentwood	"Brentwood, CA United States"	Brentwood	CA	United States	37.8754	-121.6868	32
