name	latitude	longitude	weight
Palm Springs	33.78364730369617	-116.46021872725468	21
Mission Viejo	33.60509999999999	-117.644	2
Calgary, AB	50.89019999999999	-113.9892	21
United States	38.0	-97.0	55
La Quinta	33.65790000000001	-116.27000000000001	6
Desert Hot Springs	33.96109999999999	-116.5017	1
Coquitlam, BC	49.266699999999986	-122.7833	10
Surrey, BC	49.1173	-122.82339999999999	3
Whittier	33.981599999999986	-118.0661	5
Pitt Meadows, BC	49.227300000000014	-122.6883	2
Danville	37.82159999999999	-122.0	1
San Diego	32.807199999999995	-117.1649	38
Livermore	37.68190000000001	-121.768	8
Portland	45.52340000000001	-122.6762	23
Australia	-37.88329999999999	145.1667	5
Newport Beach	33.6189	-117.929	3
Humble	29.945899999999995	-95.2752	2
Fountain Valley	33.71000000000001	-117.9478	1
Twentynine Palms	34.24379999999999	-115.8598	16
La Jolla	32.86670000000001	-117.2481	3
Cathedral City	33.82050000000001	-116.45859999999999	54
Palm Desert	33.705600000000004	-116.4083	5
Los Angeles	34.0522	-118.24369999999999	108
Santa Barbara	34.018400000000014	-119.7252	4
Sacramento	38.58160000000001	-121.4944	2
Bellflower	33.888000000000005	-118.13040000000001	1
Dixon	38.389999999999986	-121.818	4
Chandler	33.3201	-111.8739	3
New Westminster, BC	49.20070000000001	-122.9074	3
Loomis	38.81389999999999	-121.1662	3
Pasadena	34.16130000000001	-118.0895	3
CA	34.0522	-118.24369999999999	3
Rancho Palos Verdes	33.758399999999995	-118.3163	7
Santa Monica	34.03110000000001	-118.49000000000001	12
Santa Ana	33.76329999999999	-117.79419999999999	1
Fullerton	33.870299999999986	-117.9253	5
Gig Harbor	47.32929999999999	-122.5801	1
NY	40.71109999999999	-73.9469	4
Saskatoon, SK	52.10679999999999	-106.6552	14
Darien	41.0753	-73.481	7
Encinitas	33.050099999999986	-117.25280000000001	3
Salmon Arm, BC	50.69470000000001	-119.2915	1
Westbank, BC	49.837999999999994	-119.66669999999999	7
Huntsville	34.7304	-86.5861	8
Coachella	33.7021	-116.1712	3
Troutdale	45.52879999999999	-122.35900000000001	1
