origin,destination,count
Palm Springs,Palm Springs,441
Mission Viejo,Palm Springs,4
"Calgary, AB",Palm Springs,441
United States,Palm Springs,3025
La Quinta,Palm Springs,36
Desert Hot Springs,Palm Springs,1
"Coquitlam, BC",Palm Springs,100
"Surrey, BC",Palm Springs,9
Whittier,Palm Springs,25
"Pitt Meadows, BC",Palm Springs,4
Danville,Palm Springs,1
San Diego,Palm Springs,1444
Livermore,Palm Springs,64
Portland,Palm Springs,529
Australia,Palm Springs,25
Newport Beach,Palm Springs,9
Humble,Palm Springs,4
Fountain Valley,Palm Springs,1
Twentynine Palms,Palm Springs,256
La Jolla,Palm Springs,9
Cathedral City,Palm Springs,2916
Palm Desert,Palm Springs,25
Los Angeles,Palm Springs,11664
Santa Barbara,Palm Springs,16
Sacramento,Palm Springs,4
Bellflower,Palm Springs,1
Dixon,Palm Springs,16
Chandler,Palm Springs,9
"New Westminster, BC",Palm Springs,9
Loomis,Palm Springs,9
Pasadena,Palm Springs,9
CA,Palm Springs,9
Rancho Palos Verdes,Palm Springs,49
Santa Monica,Palm Springs,144
Santa Ana,Palm Springs,1
Fullerton,Palm Springs,25
Gig Harbor,Palm Springs,1
NY,Palm Springs,16
"Saskatoon, SK",Palm Springs,196
Darien,Palm Springs,49
Encinitas,Palm Springs,9
"Salmon Arm, BC",Palm Springs,1
"Westbank, BC",Palm Springs,49
Huntsville,Palm Springs,64
Coachella,Palm Springs,9
Troutdale,Palm Springs,1
Romania,Palm Springs,1
Universal City,Palm Springs,4
Highland Park,Palm Springs,4
Murrieta,Palm Springs,4
"Oakville, ON",Palm Springs,1
"Richmond, BC",Palm Springs,9
Fall City,Palm Springs,1
East Orange,Palm Springs,4
"Vancouver, BC",Palm Springs,324
Long Beach,Palm Springs,49
"Nanaimo, BC",Palm Springs,81
Des Moines,Palm Springs,1
"Delta, BC",Palm Springs,25
Bucksport,Palm Springs,9
"Regina, SK",Palm Springs,100
Laguna Beach,Palm Springs,1
Monomoy Island,Palm Springs,1
Oregon City,Palm Springs,9
"Kamloops, BC",Palm Springs,49
Bellevue,Palm Springs,4
Chicago,Palm Springs,81
"Scarborough, ON",Palm Springs,1
Seattle,Palm Springs,225
Gardena,Palm Springs,4
Logan,Palm Springs,1
Las Vegas,Palm Springs,49
Torrance,Palm Springs,49
New York,Palm Springs,256
Diamond Bar,Palm Springs,1
Anaheim,Palm Springs,529
Pottstown,Palm Springs,144
Brooklyn,Palm Springs,9
Riverside,Palm Springs,81
Hillsboro,Palm Springs,1
Mexico,Palm Springs,9
Colombia,Palm Springs,1
Tustin,Palm Springs,36
Peoria,Palm Springs,1
North Hollywood,Palm Springs,4
Longview,Palm Springs,4
San Pedro,Palm Springs,1
Rogue River,Palm Springs,49
San Mateo,Palm Springs,16
Dana Point,Palm Springs,25
"North Vancouver, BC",Palm Springs,1
IL,Palm Springs,1
Shelton,Palm Springs,1
Spokane,Palm Springs,1
"Cochrane, AB",Palm Springs,1
Sun City,Palm Springs,1
Menlo Park,Palm Springs,1
"Winnipeg, MB",Palm Springs,225
"Victoria, BC",Palm Springs,16
Sonora,Palm Springs,1
Rollingbay,Palm Springs,16
Spring Valley,Palm Springs,9
Scottsdale,Palm Springs,1
Temecula,Palm Springs,121
"Toronto, ON",Palm Springs,9
"Langley, BC",Palm Springs,9
Alaska Peninsula Nwr,Palm Springs,1
Sheboygan Falls,Palm Springs,1
San Francisco,Palm Springs,324
Salt Lake City,Palm Springs,1
"Airdrie, AB",Palm Springs,1
"Kelowna, BC",Palm Springs,49
Sherman Oaks,Palm Springs,9
Hood River,Palm Springs,9
Aurora,Palm Springs,1
Saint Paul,Palm Springs,9
West Covina,Palm Springs,1
Beaverton,Palm Springs,64
Excelsior,Palm Springs,36
Fort Mill,Palm Springs,1
Issaquah,Palm Springs,1
Corona,Palm Springs,64
Van Nuys,Palm Springs,784
Bend,Palm Springs,4
Coppell,Palm Springs,1
Lake Oswego,Palm Springs,16
"Edmonton, AB",Palm Springs,256
Birmingham,Palm Springs,4
Springfield,Palm Springs,256
United Kingdom,Palm Springs,16
"Ottawa, ON",Palm Springs,4
West Hollywood,Palm Springs,64
Mountain View,Palm Springs,4
Placentia,Palm Springs,1
Encino,Palm Springs,9
Rancho Cucamonga,Palm Springs,49
Huntington Beach,Palm Springs,25
Pico Rivera,Palm Springs,625
Washington,Palm Springs,1
Hastings,Palm Springs,1
Lakewood,Palm Springs,1
Santa Rosa,Palm Springs,1
San Carlos,Palm Springs,1225
"Yorkton, SK",Palm Springs,4
Canada,Palm Springs,16
Beverly Hills,Palm Springs,9
Wichita,Palm Springs,1
Aliso Viejo,Palm Springs,169
"Saanichton, BC",Palm Springs,1
"Canmore, AB",Palm Springs,16
Henderson,Palm Springs,1
Granger,Palm Springs,1
Hacienda Heights,Palm Springs,1
Norwalk,Palm Springs,1
Berkeley,Palm Springs,4
"Shawnigan Lake, BC",Palm Springs,1
Escondido,Palm Springs,1
Redondo Beach,Palm Springs,4
Camano Island,Palm Springs,1
Turtle Lake,Palm Springs,1
Essex Junction,Palm Springs,25
New Zealand,Palm Springs,1
"Cache Creek, BC",Palm Springs,1
Santa Cruz,Palm Springs,121
Las Cruces,Palm Springs,1
Irvine,Palm Springs,16
West Linn,Palm Springs,16
El Segundo,Palm Springs,25
"Port Moody, BC",Palm Springs,1
Boise,Palm Springs,16
Bronx,Palm Springs,1
Grand Prairie,Palm Springs,16
Clarksville,Palm Springs,1
"Gem, AB",Palm Springs,1
Billings,Palm Springs,4
"Kanata, ON",Palm Springs,1
Solana Beach,Palm Springs,1
Buena Park,Palm Springs,1
San Clemente,Palm Springs,49
AZ,Palm Springs,1
Klamath Falls,Palm Springs,4
Silverton,Palm Springs,1
La Mesa,Palm Springs,1
Petaluma,Palm Springs,25
Kalispell,Palm Springs,1
CO,Palm Springs,1
Oakland,Palm Springs,1
Chino Hills,Palm Springs,16
Hollister,Palm Springs,1
Horseheads,Palm Springs,1
Akron,Palm Springs,9
Redlands,Palm Springs,484
San Jose,Palm Springs,9
Manhattan Beach,Palm Springs,1
Chino,Palm Springs,1
Philadelphia,Palm Springs,324
Stanford,Palm Springs,25
Nampa,Palm Springs,1
Yelm,Palm Springs,16
Madison,Palm Springs,1
Atlanta,Palm Springs,12100
Vancouver,Palm Springs,1
New Berlin,Palm Springs,9
"Midland, ON",Palm Springs,1
Salem,Palm Springs,49
Corvallis,Palm Springs,1
OR,Palm Springs,1
"White Rock, BC",Palm Springs,1
Hawthorne,Palm Springs,16
"Castlegar, BC",Palm Springs,1
Redmond,Palm Springs,1
"Chilliwack, BC",Palm Springs,1
San Gabriel,Palm Springs,196
