iata	name	city	state	country	latitude	longitude	count
Los Angeles	Los Angeles, CA United States	Los Angeles	CA	United States	34.0522342	-118.2436849	491
Palm Springs	Palm Springs, CA United States	Palm Springs	CA	United States	33.8302961	-116.5452921	95
San Diego	San Diego, CA United States	San Diego	CA	United States	32.7153292	-117.1572551	88
San Francisco	San Francisco, CA United States	San Francisco	CA	United States	37.3393857	-121.8949555	111
Atlanta	Atlanta, GA United States	Atlanta	GA	United States	33.7489954	-84.3879824	112
New York	New York, NY United States	New York	NY	United States	40.7142691	-74.0059729	33
Portland	Portland, OR United States	Portland	OR	United States	45.5234515	-122.6762071	58
Philadelphia	Philadelphia, PA United States	Philadelphia	PA	United States	39.952335	-75.163789	30
Seattle	Seattle, WA United States	Seattle	WA	United States	47.2528768	-122.4442906	34
Calgary, AB	Calgary, AB Canada	Calgary	AB	Canada	50.89019999999999	-113.9892	21
Vancouver, BC	Vancouver, BC Canada	Vancouver	BC	Canada	49.27680000000001	-123.1469	52
Other	Other	Other	Other	Other	33.8302961	-116.5452921	82
