Or. Name	Dn. Name	Weight
Palm Springs	Palm Springs	21
Mission Viejo	Palm Springs	2
"Calgary, AB"	Palm Springs	21
United States	Palm Springs	55
La Quinta	Palm Springs	6
Desert Hot Springs	Palm Springs	1
"Coquitlam, BC"	Palm Springs	10
"Surrey, BC"	Palm Springs	3
Whittier	Palm Springs	5
"Pitt Meadows, BC"	Palm Springs	2
Danville	Palm Springs	1
San Diego	Palm Springs	38
Livermore	Palm Springs	8
Portland	Palm Springs	23
Australia	Palm Springs	5
Newport Beach	Palm Springs	3
Humble	Palm Springs	2
Fountain Valley	Palm Springs	1
Twentynine Palms	Palm Springs	16
La Jolla	Palm Springs	3
Cathedral City	Palm Springs	54
Palm Desert	Palm Springs	5
Los Angeles	Palm Springs	108
Santa Barbara	Palm Springs	4
Sacramento	Palm Springs	2
Bellflower	Palm Springs	1
Dixon	Palm Springs	4
Chandler	Palm Springs	3
"New Westminster, BC"	Palm Springs	3
Loomis	Palm Springs	3
Pasadena	Palm Springs	3
CA	Palm Springs	3
Rancho Palos Verdes	Palm Springs	7
Santa Monica	Palm Springs	12
Santa Ana	Palm Springs	1
Fullerton	Palm Springs	5
Gig Harbor	Palm Springs	1
NY	Palm Springs	4
"Saskatoon, SK"	Palm Springs	14
Darien	Palm Springs	7
Encinitas	Palm Springs	3
"Salmon Arm, BC"	Palm Springs	1
"Westbank, BC"	Palm Springs	7
Huntsville	Palm Springs	8
Coachella	Palm Springs	3
Troutdale	Palm Springs	1
Romania	Palm Springs	1
Universal City	Palm Springs	2
Highland Park	Palm Springs	2
Murrieta	Palm Springs	2
"Oakville, ON"	Palm Springs	1
"Richmond, BC"	Palm Springs	3
Fall City	Palm Springs	1
East Orange	Palm Springs	2
"Vancouver, BC"	Palm Springs	18
Long Beach	Palm Springs	7
"Nanaimo, BC"	Palm Springs	9
Des Moines	Palm Springs	1
"Delta, BC"	Palm Springs	5
Bucksport	Palm Springs	3
"Regina, SK"	Palm Springs	10
Laguna Beach	Palm Springs	1
Monomoy Island	Palm Springs	1
Oregon City	Palm Springs	3
"Kamloops, BC"	Palm Springs	7
Bellevue	Palm Springs	2
Chicago	Palm Springs	9
"Scarborough, ON"	Palm Springs	1
Seattle	Palm Springs	15
Gardena	Palm Springs	2
Logan	Palm Springs	1
Las Vegas	Palm Springs	7
Torrance	Palm Springs	7
New York	Palm Springs	16
Diamond Bar	Palm Springs	1
Anaheim	Palm Springs	23
Pottstown	Palm Springs	12
Brooklyn	Palm Springs	3
Riverside	Palm Springs	9
Hillsboro	Palm Springs	1
Mexico	Palm Springs	3
Colombia	Palm Springs	1
Tustin	Palm Springs	6
Peoria	Palm Springs	1
North Hollywood	Palm Springs	2
Longview	Palm Springs	2
San Pedro	Palm Springs	1
Rogue River	Palm Springs	7
San Mateo	Palm Springs	4
Dana Point	Palm Springs	5
"North Vancouver, BC"	Palm Springs	1
IL	Palm Springs	1
Shelton	Palm Springs	1
Spokane	Palm Springs	1
"Cochrane, AB"	Palm Springs	1
Sun City	Palm Springs	1
Menlo Park	Palm Springs	1
"Winnipeg, MB"	Palm Springs	15
"Victoria, BC"	Palm Springs	4
Sonora	Palm Springs	1
Rollingbay	Palm Springs	4
Spring Valley	Palm Springs	3
Scottsdale	Palm Springs	1
Temecula	Palm Springs	11
"Toronto, ON"	Palm Springs	3
"Langley, BC"	Palm Springs	3
Alaska Peninsula Nwr	Palm Springs	1
Sheboygan Falls	Palm Springs	1
San Francisco	Palm Springs	18
Salt Lake City	Palm Springs	1
"Airdrie, AB"	Palm Springs	1
"Kelowna, BC"	Palm Springs	7
Sherman Oaks	Palm Springs	3
Hood River	Palm Springs	3
Aurora	Palm Springs	1
Saint Paul	Palm Springs	3
West Covina	Palm Springs	1
Beaverton	Palm Springs	8
Excelsior	Palm Springs	6
Fort Mill	Palm Springs	1
Issaquah	Palm Springs	1
Corona	Palm Springs	8
Van Nuys	Palm Springs	28
Bend	Palm Springs	2
Coppell	Palm Springs	1
Lake Oswego	Palm Springs	4
"Edmonton, AB"	Palm Springs	16
Birmingham	Palm Springs	2
Springfield	Palm Springs	16
United Kingdom	Palm Springs	4
"Ottawa, ON"	Palm Springs	2
West Hollywood	Palm Springs	8
Mountain View	Palm Springs	2
Placentia	Palm Springs	1
Encino	Palm Springs	3
Rancho Cucamonga	Palm Springs	7
Huntington Beach	Palm Springs	5
Pico Rivera	Palm Springs	25
Washington	Palm Springs	1
Hastings	Palm Springs	1
Lakewood	Palm Springs	1
Santa Rosa	Palm Springs	1
San Carlos	Palm Springs	35
"Yorkton, SK"	Palm Springs	2
Canada	Palm Springs	4
Beverly Hills	Palm Springs	3
Wichita	Palm Springs	1
Aliso Viejo	Palm Springs	13
"Saanichton, BC"	Palm Springs	1
"Canmore, AB"	Palm Springs	4
Henderson	Palm Springs	1
Granger	Palm Springs	1
Hacienda Heights	Palm Springs	1
Norwalk	Palm Springs	1
Berkeley	Palm Springs	2
"Shawnigan Lake, BC"	Palm Springs	1
Escondido	Palm Springs	1
Redondo Beach	Palm Springs	2
Camano Island	Palm Springs	1
Turtle Lake	Palm Springs	1
Essex Junction	Palm Springs	5
New Zealand	Palm Springs	1
"Cache Creek, BC"	Palm Springs	1
Santa Cruz	Palm Springs	11
Las Cruces	Palm Springs	1
Irvine	Palm Springs	4
West Linn	Palm Springs	4
El Segundo	Palm Springs	5
"Port Moody, BC"	Palm Springs	1
Boise	Palm Springs	4
Bronx	Palm Springs	1
Grand Prairie	Palm Springs	4
Clarksville	Palm Springs	1
"Gem, AB"	Palm Springs	1
Billings	Palm Springs	2
"Kanata, ON"	Palm Springs	1
Solana Beach	Palm Springs	1
Buena Park	Palm Springs	1
San Clemente	Palm Springs	7
AZ	Palm Springs	1
Klamath Falls	Palm Springs	2
Silverton	Palm Springs	1
La Mesa	Palm Springs	1
Petaluma	Palm Springs	5
Kalispell	Palm Springs	1
CO	Palm Springs	1
Oakland	Palm Springs	1
Chino Hills	Palm Springs	4
Hollister	Palm Springs	1
Horseheads	Palm Springs	1
Akron	Palm Springs	3
Redlands	Palm Springs	22
San Jose	Palm Springs	3
Manhattan Beach	Palm Springs	1
Chino	Palm Springs	1
Philadelphia	Palm Springs	18
Stanford	Palm Springs	5
Nampa	Palm Springs	1
Yelm	Palm Springs	4
Madison	Palm Springs	1
Atlanta	Palm Springs	110
Vancouver	Palm Springs	1
New Berlin	Palm Springs	3
"Midland, ON"	Palm Springs	1
Salem	Palm Springs	7
Corvallis	Palm Springs	1
OR	Palm Springs	1
"White Rock, BC"	Palm Springs	1
Hawthorne	Palm Springs	4
"Castlegar, BC"	Palm Springs	1
Redmond	Palm Springs	1
"Chilliwack, BC"	Palm Springs	1
San Gabriel	Palm Springs	14
Palmdale	Palm Springs	1
South Lake Tahoe	Palm Springs	2
Bothell	Palm Springs	2
Lewiston	Palm Springs	4
Indio	Palm Springs	6
Carlsbad	Palm Springs	2
Fort Collins	Palm Springs	3
Malibu	Palm Springs	1
"Sechelt, BC"	Palm Springs	1
Vashon	Palm Springs	1
Theodore	Palm Springs	18
Compton	Palm Springs	8
"Colonsay, SK"	Palm Springs	1
Sylmar	Palm Springs	6
Orlando	Palm Springs	13
Denver	Palm Springs	3
Algonquin	Palm Springs	1
Perris	Palm Springs	6
Sebastopol	Palm Springs	1
San Marcos	Palm Springs	27
"Parksville, BC"	Palm Springs	4
Streamwood	Palm Springs	1
"Comox, BC"	Palm Springs	9
"Happy Valley, NL"	Palm Springs	1
Lombard	Palm Springs	1
Martinsville	Palm Springs	3
Sioux City	Palm Springs	1
Metairie	Palm Springs	1
Fallbrook	Palm Springs	12
South Yarmouth	Palm Springs	1
Cleveland	Palm Springs	6
Moreno Valley	Palm Springs	1
Burbank	Palm Springs	25
Evanston	Palm Springs	1
Yorba Linda	Palm Springs	1
Overland Park	Palm Springs	1
Marietta	Palm Springs	2
Buffalo Grove	Palm Springs	3
Playa Del Rey	Palm Springs	1
Rancho Santa Margarita	Palm Springs	10
Canton	Palm Springs	1
Pleasanton	Palm Springs	2
Lawndale	Palm Springs	1
Newport	Palm Springs	3
Davis	Palm Springs	1
New Haven	Palm Springs	2
Glendale	Palm Springs	7
"Maple Ridge, BC"	Palm Springs	1
"Gibsons, BC"	Palm Springs	1
Minneapolis	Palm Springs	1
Morris Plains	Palm Springs	1
Costa Mesa	Palm Springs	1
"Nelson, BC"	Palm Springs	1
Elizabethtown	Palm Springs	4
San Dimas	Palm Springs	1
Omaha	Palm Springs	1
Hayward	Palm Springs	1
Agoura Hills	Palm Springs	2
"London, ON"	Palm Springs	1
Brea	Palm Springs	2
Brentwood	Palm Springs	21
