origin	destination	count
"Calgary, AB"	Palm Springs	21
San Diego	Palm Springs	46
Portland	Palm Springs	44
Twentynine Palms	Palm Springs	16
Cathedral City	Palm Springs	96
Los Angeles	Palm Springs	292
"Vancouver, BC"	Palm Springs	45
Seattle	Palm Springs	26
New York	Palm Springs	20
Anaheim	Palm Springs	82
San Francisco	Palm Springs	21
"Edmonton, AB"	Palm Springs	16
Springfield	Palm Springs	16
San Carlos	Palm Springs	48
Redlands	Palm Springs	38
Philadelphia	Palm Springs	18
Atlanta	Palm Springs	112
Theodore	Palm Springs	18
San Marcos	Palm Springs	42
Rancho Santa Margarita	Palm Springs	24
Brentwood	Palm Springs	32
